Company,TypeName,Ram,Weight,Touchscreen,Ips,ppi,Cpu_name,HDD,SSD,Hybrid,Flash_Storage,Gpu_brand,os,Price
Acer,2 in 1 Convertible,16,1.57,0,0,111.94,AMD Processor,0.0,256.0,0.0,0.0,Intel,Mac,90039.61
Apple,Gaming,16,4.45,0,1,183.58,Other Intel Processor,1000.0,128.0,0.0,0.0,Intel,Windows,99105.21
Lenovo,Gaming,4,2.76,0,0,85.17,AMD Processor,0.0,128.0,0.0,0.0,Intel,Windows,49418.49
Asus,Notebook,16,1.23,1,0,119.72,AMD Processor,1000.0,128.0,0.0,0.0,AMD,Windows,91561.2
Samsung,Notebook,4,1.44,0,0,158.48,Other Intel Processor,0.0,256.0,0.0,0.0,Nvidia,Mac,94678.02
Toshiba,2 in 1 Convertible,4,2.09,0,0,189.91,Other Intel Processor,0.0,512.0,0.0,0.0,Nvidia,Windows,114733.79
Lenovo,Ultrabook,16,1.12,0,0,137.68,AMD Processor,0.0,256.0,0.0,0.0,Intel,Windows,92496.99
Lenovo,Notebook,16,1.99,0,0,112.74,Intel Core i7,500.0,0.0,0.0,0.0,Nvidia,Windows,120597.18
Lenovo,Workstation,4,2.88,0,0,129.58,Intel Core i7,0.0,0.0,0.0,32.0,Intel,Windows,67824.6
Asus,Gaming,32,2.03,0,1,129.58,AMD Processor,0.0,512.0,0.0,0.0,Nvidia,Windows,188136.0
Dell,Notebook,8,2.4,1,1,189.91,Intel Core i3,1000.0,128.0,0.0,0.0,Nvidia,Mac,102433.11
HP,Ultrabook,24,0.96,0,0,155.16,AMD Processor,500.0,0.0,0.0,0.0,AMD,Windows,107113.14
Dell,Notebook,6,1.92,0,0,127.34,Intel Core i5,0.0,512.0,0.0,0.0,Intel,Others/No OS/Linux,100977.12
Asus,2 in 1 Convertible,8,1.8,0,0,130.59,Intel Core i3,1000.0,128.0,0.0,0.0,Intel,Windows,70988.53
Chuwi,2 in 1 Convertible,16,1.8,0,0,218.11,Intel Core i7,0.0,512.0,0.0,0.0,Nvidia,Mac,167937.33
Dell,Notebook,2,2.48,0,0,143.05,Intel Core i3,0.0,128.0,0.0,0.0,Nvidia,Windows,73997.71
Asus,Gaming,6,2.43,0,0,141.21,Intel Core i5,0.0,256.0,0.0,0.0,Intel,Windows,74463.53
Huawei,Notebook,4,2.33,0,1,218.11,Intel Core i3,500.0,0.0,0.0,0.0,Nvidia,Windows,77862.17
Asus,Notebook,4,2.61,0,1,172.78,Other Intel Processor,0.0,256.0,0.0,0.0,Intel,Windows,76666.23
Acer,Notebook,4,2.35,0,1,156.23,Intel Core i7,0.0,256.0,0.0,0.0,Nvidia,Windows,122658.8
Asus,Ultrabook,4,0.95,0,0,116.08,AMD Processor,1000.0,0.0,0.0,0.0,Intel,Windows,44619.55
Dell,Notebook,8,1.28,0,0,90.58,Other Intel Processor,500.0,0.0,0.0,0.0,Nvidia,Windows,80607.26
MSI,Notebook,8,1.74,0,0,119.72,Other Intel Processor,0.0,0.0,1000.0,0.0,Nvidia,Windows,79434.58
LG,Notebook,4,1.3,0,0,111.14,AMD Processor,0.0,1000.0,0.0,0.0,Nvidia,Windows,143811.2
Apple,2 in 1 Convertible,16,2.61,0,1,129.58,AMD Processor,1000.0,128.0,0.0,0.0,Intel,Mac,90986.58
Lenovo,Notebook,4,1.37,0,1,141.21,AMD Processor,0.0,128.0,0.0,0.0,Intel,Windows,67505.38
Dell,Ultrabook,8,1.4,0,0,169.45,AMD Processor,1000.0,256.0,0.0,0.0,Intel,Others/No OS/Linux,81234.87
Acer,Netbook,16,1.33,0,1,312.47,Other Processor,0.0,512.0,0.0,0.0,Nvidia,Windows,173949.62
HP,Notebook,4,1.37,0,0,120.55,Intel Core i7,0.0,512.0,0.0,0.0,Nvidia,Windows,115957.27
LG,Ultrabook,16,1.2,1,0,183.58,Other Processor,0.0,128.0,0.0,0.0,Nvidia,Others/No OS/Linux,125179.11
Google,2 in 1 Convertible,4,1.52,0,0,100.45,Intel Core i3,500.0,0.0,0.0,0.0,AMD,Others/No OS/Linux,51969.24
HP,2 in 1 Convertible,8,1.82,0,0,165.63,Intel Core i5,0.0,256.0,0.0,0.0,Intel,Windows,87040.56
Samsung,Notebook,16,1.23,0,0,137.68,Other Processor,0.0,256.0,0.0,0.0,Intel,Windows,96230.4
Chuwi,2 in 1 Convertible,4,1.88,0,0,90.58,Other Intel Processor,500.0,0.0,0.0,0.0,AMD,Windows,40051.76
Dell,2 in 1 Convertible,32,1.81,1,0,189.91,Intel Core i7,0.0,256.0,0.0,0.0,Intel,Others/No OS/Linux,165360.84
MSI,Netbook,4,1.55,0,0,100.45,AMD Processor,1000.0,0.0,0.0,0.0,Nvidia,Others/No OS/Linux,69289.56
HP,Notebook,4,1.71,0,1,169.45,AMD Processor,500.0,0.0,0.0,0.0,AMD,Windows,71013.47
Lenovo,Notebook,4,1.99,0,1,201.26,Other Intel Processor,500.0,0.0,0.0,0.0,Intel,Windows,54569.85
Microsoft,Ultrabook,4,0.96,0,0,169.45,Other Intel Processor,0.0,512.0,0.0,0.0,Nvidia,Others/No OS/Linux,111291.53
Apple,Netbook,8,1.1,0,0,158.48,Other Intel Processor,500.0,0.0,0.0,0.0,Nvidia,Others/No OS/Linux,81408.81
LG,Ultrabook,16,1.36,0,0,157.35,Other Processor,2000.0,0.0,0.0,0.0,Intel,Windows,86099.01
Lenovo,Notebook,8,1.83,0,1,129.58,Other Intel Processor,0.0,128.0,0.0,0.0,Intel,Windows,69603.36
Samsung,Gaming,32,4.19,0,0,129.58,AMD Processor,0.0,512.0,0.0,0.0,Nvidia,Others/No OS/Linux,174670.8
HP,2 in 1 Convertible,4,2.08,0,0,194.95,Other Intel Processor,0.0,256.0,0.0,0.0,Nvidia,Others/No OS/Linux,99360.34
Lenovo,Gaming,8,2.77,0,0,100.45,AMD Processor,1000.0,0.0,0.0,0.0,Nvidia,Windows,76769.39
Asus,Gaming,24,4.0,0,0,92.18,AMD Processor,0.0,256.0,0.0,0.0,Intel,Others/No OS/Linux,112384.82
Asus,2 in 1 Convertible,4,2.52,0,0,127.34,AMD Processor,0.0,1000.0,0.0,0.0,Intel,Mac,119250.53
Mediacom,Notebook,4,2.24,0,0,85.17,Intel Core i7,0.0,512.0,0.0,0.0,Intel,Windows,97302.09
Asus,Gaming,8,3.73,0,0,101.76,AMD Processor,0.0,0.0,0.0,32.0,Intel,Windows,46520.66
Dell,Notebook,4,1.77,0,1,189.91,Intel Core i7,500.0,0.0,0.0,0.0,AMD,Others/No OS/Linux,78701.63
HP,Notebook,2,1.77,0,0,90.58,Other Intel Processor,0.0,0.0,0.0,32.0,Nvidia,Others/No OS/Linux,60580.2
Dell,2 in 1 Convertible,8,2.32,1,0,183.58,Intel Core i3,0.0,256.0,0.0,0.0,AMD,Windows,96494.88
Apple,Netbook,4,1.39,0,0,183.58,Other Processor,1000.0,128.0,0.0,0.0,Nvidia,Others/No OS/Linux,87905.17
Lenovo,Gaming,16,3.93,1,1,129.58,AMD Processor,0.0,0.0,0.0,32.0,AMD,Others/No OS/Linux,89446.66
Google,Netbook,8,1.04,0,0,157.35,Other Processor,0.0,256.0,0.0,0.0,Intel,Windows,71245.15
Toshiba,Gaming,8,3.32,1,1,229.47,AMD Processor,500.0,0.0,0.0,0.0,Nvidia,Others/No OS/Linux,97113.17
HP,2 in 1 Convertible,16,2.65,0,0,169.45,Intel Core i5,1000.0,0.0,0.0,0.0,Nvidia,Windows,112970.43
Lenovo,Notebook,4,2.38,1,1,216.91,Other Intel Processor,0.0,0.0,0.0,32.0,Intel,Windows,58637.81
Microsoft,Notebook,16,2.73,0,0,92.18,Other Intel Processor,500.0,0.0,0.0,0.0,AMD,Others/No OS/Linux,78525.17
Asus,2 in 1 Convertible,4,2.61,0,1,254.67,Other Intel Processor,500.0,0.0,0.0,0.0,Intel,Others/No OS/Linux,64970.65
HP,Notebook,16,2.38,0,0,132.07,Other Intel Processor,500.0,0.0,0.0,0.0,Nvidia,Mac,108899.33
Dell,Ultrabook,32,1.37,0,1,189.91,Other Intel Processor,500.0,0.0,0.0,0.0,Intel,Windows,127292.09
LG,Notebook,4,2.14,1,0,157.35,Other Intel Processor,0.0,256.0,0.0,0.0,Nvidia,Windows,98509.75
Microsoft,Ultrabook,4,1.17,0,0,125.37,Intel Core i3,2000.0,128.0,0.0,0.0,Intel,Windows,57742.17
Dell,Notebook,4,1.41,0,1,218.11,AMD Processor,500.0,0.0,0.0,0.0,AMD,Windows,60169.34
Asus,Gaming,16,3.93,0,1,169.45,AMD Processor,0.0,128.0,0.0,0.0,Intel,Windows,90511.43
Asus,2 in 1 Convertible,8,2.61,0,0,157.35,Other Intel Processor,0.0,512.0,0.0,0.0,Intel,Windows,97533.15
Lenovo,2 in 1 Convertible,8,2.13,0,0,194.95,AMD Processor,2000.0,0.0,0.0,0.0,Intel,Mac,77580.21
Lenovo,Gaming,4,3.25,0,0,218.11,Intel Core i5,0.0,256.0,0.0,0.0,Nvidia,Windows,107441.4
Dell,Gaming,8,3.94,0,0,158.48,Other Intel Processor,500.0,0.0,0.0,0.0,Nvidia,Mac,82585.34
HP,Notebook,2,1.44,0,0,85.17,AMD Processor,1000.0,0.0,0.0,0.0,Nvidia,Windows,60606.84
Acer,Gaming,8,4.59,1,1,165.63,Intel Core i3,500.0,0.0,0.0,0.0,Intel,Others/No OS/Linux,59442.21
Apple,Notebook,8,1.24,1,0,129.58,AMD Processor,1000.0,256.0,0.0,0.0,Intel,Windows,87503.71
Xiaomi,Gaming,8,2.99,0,1,218.11,AMD Processor,1000.0,128.0,0.0,0.0,Intel,Others/No OS/Linux,83182.87
HP,2 in 1 Convertible,16,2.57,0,0,101.76,Other Intel Processor,0.0,512.0,0.0,0.0,Intel,Others/No OS/Linux,114556.36
HP,Gaming,12,4.37,0,0,137.68,Other Intel Processor,1000.0,0.0,0.0,0.0,Nvidia,Windows,84604.66
Dell,Workstation,16,4.3,0,1,158.48,Intel Core i5,1000.0,128.0,0.0,0.0,Nvidia,Windows,132971.57
Huawei,Notebook,4,1.54,0,0,194.95,Intel Core i5,500.0,0.0,0.0,0.0,Intel,Others/No OS/Linux,55844.74
MSI,Notebook,4,2.2,0,0,100.45,Other Intel Processor,0.0,128.0,0.0,0.0,Nvidia,Windows,78028.29
Acer,Notebook,4,2.0,0,0,165.63,AMD Processor,1000.0,0.0,0.0,0.0,Intel,Mac,60827.88
HP,Ultrabook,4,1.22,0,1,194.95,AMD Processor,0.0,512.0,0.0,0.0,Intel,Windows,92181.32
Microsoft,Ultrabook,8,1.04,0,0,218.11,Other Intel Processor,1000.0,256.0,0.0,0.0,Nvidia,Windows,109781.71
Dell,Gaming,2,4.52,0,1,176.23,AMD Processor,0.0,128.0,0.0,0.0,AMD,Others/No OS/Linux,66365.86
HP,Gaming,8,4.36,1,1,127.34,Other Intel Processor,1000.0,128.0,0.0,0.0,Intel,Windows,69643.42
Dell,Notebook,4,2.8,0,0,138.03,AMD Processor,500.0,0.0,0.0,0.0,Intel,Windows,37010.28
Acer,Notebook,8,2.35,0,1,137.68,Intel Core i5,32.0,0.0,0.0,0.0,Intel,Windows,68578.41
HP,Gaming,2,2.17,1,0,179.1,Intel Core i7,0.0,0.0,1000.0,0.0,AMD,Windows,74010.48
Dell,Ultrabook,8,1.39,0,0,90.58,Other Processor,0.0,256.0,0.0,0.0,AMD,Windows,82327.56
Dell,Gaming,16,3.12,0,0,137.68,AMD Processor,1000.0,0.0,0.0,0.0,Intel,Windows,70804.48
HP,2 in 1 Convertible,32,1.96,1,1,298.5,Intel Core i3,0.0,512.0,0.0,0.0,Nvidia,Windows,216569.67
Asus,Notebook,4,1.23,0,0,104.47,Other Intel Processor,1000.0,0.0,0.0,0.0,AMD,Windows,49390.13
Dell,Gaming,4,3.59,0,1,223.62,AMD Processor,0.0,0.0,0.0,64.0,Nvidia,Windows,80634.09
Lenovo,Ultrabook,8,1.01,0,0,155.16,Other Processor,0.0,512.0,0.0,0.0,AMD,Windows,112636.79
Asus,Notebook,8,1.91,0,0,120.55,Intel Core i7,0.0,128.0,0.0,0.0,Nvidia,Windows,101641.68
Google,Ultrabook,16,1.55,1,1,156.23,Other Intel Processor,500.0,0.0,0.0,0.0,AMD,Windows,98334.9
Acer,Notebook,8,1.28,0,1,169.78,Intel Core i3,500.0,0.0,0.0,0.0,Nvidia,Windows,95629.31
HP,Gaming,4,2.6,0,0,130.59,AMD Processor,0.0,0.0,1000.0,0.0,Intel,Windows,35033.38
Lenovo,Notebook,2,1.51,0,0,137.68,Intel Core i7,500.0,0.0,0.0,0.0,Intel,Windows,61934.77
Microsoft,Gaming,4,3.73,0,0,117.68,Intel Core i5,1000.0,128.0,0.0,0.0,Nvidia,Others/No OS/Linux,88931.01
Lenovo,Notebook,16,2.68,0,1,169.45,Intel Core i7,1000.0,128.0,0.0,0.0,Nvidia,Windows,142803.11
Toshiba,Gaming,8,3.11,0,0,163.18,Other Processor,0.0,0.0,0.0,32.0,Intel,Others/No OS/Linux,50286.85
Lenovo,Workstation,4,2.87,0,1,189.91,Other Intel Processor,500.0,0.0,0.0,0.0,Nvidia,Others/No OS/Linux,73316.92
HP,Ultrabook,8,1.29,0,0,176.23,Intel Core i5,0.0,1000.0,0.0,0.0,Intel,Windows,152467.31
Samsung,Notebook,8,1.28,0,0,113.21,Intel Core i7,500.0,0.0,0.0,0.0,Nvidia,Windows,99790.12
Microsoft,Notebook,8,2.17,0,0,111.94,Other Intel Processor,500.0,0.0,0.0,0.0,Intel,Others/No OS/Linux,53515.26
Dell,Notebook,4,2.56,0,0,143.05,Other Intel Processor,0.0,0.0,0.0,32.0,Nvidia,Windows,71338.24
Asus,Notebook,8,1.77,0,0,157.35,Other Intel Processor,0.0,512.0,0.0,0.0,Nvidia,Mac,119671.88
Acer,Ultrabook,4,1.29,0,0,183.58,Intel Core i3,0.0,128.0,0.0,0.0,Intel,Windows,62140.87
Dell,Notebook,32,2.71,0,1,314.7,Intel Core i5,1000.0,0.0,0.0,0.0,AMD,Others/No OS/Linux,162519.36
HP,Gaming,4,2.05,0,0,135.09,Other Intel Processor,1000.0,128.0,0.0,0.0,Intel,Windows,52829.04
Google,Notebook,8,1.61,0,1,282.42,Other Intel Processor,0.0,128.0,0.0,0.0,Intel,Windows,95849.27
Acer,Notebook,8,1.94,1,0,157.35,AMD Processor,0.0,128.0,0.0,0.0,AMD,Others/No OS/Linux,84551.16
Mediacom,Gaming,8,2.34,0,1,141.21,Intel Core i7,1000.0,128.0,0.0,0.0,Nvidia,Windows,109888.68
Xiaomi,Gaming,8,3.96,0,0,137.68,Other Intel Processor,0.0,512.0,0.0,0.0,AMD,Windows,106804.37
Dell,Notebook,8,1.43,0,0,157.35,AMD Processor,0.0,128.0,0.0,0.0,Nvidia,Windows,87818.59
Apple,Ultrabook,2,1.23,0,0,117.83,Other Intel Processor,0.0,256.0,0.0,0.0,Nvidia,Windows,87325.02
HP,Ultrabook,8,1.5,0,1,183.58,Intel Core i7,500.0,0.0,0.0,0.0,Intel,Windows,91322.58
HP,Ultrabook,8,1.55,1,1,233.74,Other Processor,0.0,256.0,0.0,0.0,Intel,Windows,91875.39
Dell,Gaming,16,2.19,0,0,127.41,AMD Processor,1000.0,512.0,0.0,0.0,Nvidia,Windows,145876.08
Asus,Ultrabook,4,1.1,0,0,129.58,AMD Processor,32.0,0.0,0.0,0.0,AMD,Windows,56577.5
Vaio,Netbook,8,1.31,1,0,143.05,Intel Core i7,0.0,256.0,0.0,0.0,Nvidia,Windows,130446.3
HP,Gaming,8,3.14,0,1,137.68,Intel Core i7,1000.0,256.0,0.0,0.0,Nvidia,Windows,134345.56
HP,Notebook,32,1.45,0,0,125.37,Other Processor,32.0,0.0,0.0,0.0,Intel,Windows,112431.46
Apple,Gaming,16,2.79,0,0,155.16,Other Intel Processor,0.0,512.0,0.0,0.0,Nvidia,Others/No OS/Linux,138020.52
Acer,Notebook,8,1.42,1,1,189.91,Other Processor,0.0,512.0,0.0,0.0,AMD,Windows,116881.63
Asus,Ultrabook,8,1.37,0,0,152.98,AMD Processor,0.0,512.0,0.0,0.0,Nvidia,Windows,118868.55
Dell,Ultrabook,4,1.07,0,0,158.48,Other Processor,0.0,256.0,0.0,0.0,Nvidia,Windows,93042.09
HP,Notebook,16,2.03,0,1,208.31,AMD Processor,0.0,256.0,0.0,0.0,Intel,Windows,109152.96
Apple,Ultrabook,8,1.14,0,0,179.1,Other Intel Processor,1000.0,128.0,0.0,0.0,Nvidia,Windows,98975.45
Asus,Workstation,4,2.69,0,0,92.18,Intel Core i5,0.0,128.0,0.0,0.0,Intel,Windows,62747.52
Xiaomi,Gaming,8,3.58,0,0,169.45,Intel Core i3,0.0,512.0,0.0,0.0,Intel,Others/No OS/Linux,97779.01
Chuwi,Ultrabook,8,1.46,0,1,129.58,Other Intel Processor,0.0,512.0,0.0,0.0,AMD,Windows,116317.27
Dell,2 in 1 Convertible,8,1.94,0,0,130.59,Intel Core i5,2000.0,128.0,0.0,0.0,Intel,Windows,76647.52
HP,Ultrabook,24,0.98,0,0,163.18,AMD Processor,0.0,256.0,0.0,0.0,Nvidia,Others/No OS/Linux,157682.45
Asus,2 in 1 Convertible,8,2.05,0,0,92.18,AMD Processor,0.0,256.0,0.0,0.0,Nvidia,Windows,97619.94
Samsung,2 in 1 Convertible,8,2.02,0,0,141.21,AMD Processor,0.0,128.0,0.0,0.0,Nvidia,Others/No OS/Linux,85879.41
Apple,2 in 1 Convertible,16,1.37,1,0,157.35,Other Intel Processor,0.0,128.0,0.0,0.0,Intel,Windows,87397.54
Apple,Gaming,8,2.7,0,0,122.38,Other Intel Processor,1000.0,0.0,0.0,0.0,AMD,Windows,66397.96
HP,Notebook,8,2.32,1,0,179.1,Other Processor,0.0,256.0,0.0,0.0,Nvidia,Others/No OS/Linux,108534.69
Vaio,Notebook,8,2.42,0,0,112.74,Other Intel Processor,0.0,256.0,0.0,0.0,Nvidia,Windows,100158.8
MSI,Notebook,32,2.47,0,0,111.14,Other Intel Processor,0.0,128.0,0.0,0.0,Nvidia,Others/No OS/Linux,148472.99
HP,Gaming,8,3.48,0,0,143.05,Intel Core i7,0.0,256.0,0.0,0.0,AMD,Windows,103801.86
Dell,Notebook,4,1.54,0,0,143.05,Other Intel Processor,0.0,128.0,0.0,0.0,Nvidia,Others/No OS/Linux,76632.03
Chuwi,Notebook,16,1.31,0,0,127.34,Other Intel Processor,1000.0,256.0,0.0,0.0,AMD,Windows,98876.56
HP,2 in 1 Convertible,4,2.55,0,0,92.18,Other Processor,500.0,0.0,0.0,0.0,Nvidia,Others/No OS/Linux,62279.03
Lenovo,Notebook,32,1.97,0,0,157.35,AMD Processor,0.0,256.0,0.0,0.0,Nvidia,Others/No OS/Linux,166673.99
HP,Notebook,8,1.34,1,1,264.14,Intel Core i7,500.0,0.0,0.0,0.0,AMD,Windows,111427.27
MSI,Workstation,8,3.96,0,0,85.17,Other Processor,500.0,0.0,0.0,0.0,Nvidia,Windows,66031.71
Samsung,2 in 1 Convertible,4,1.94,0,1,156.23,AMD Processor,0.0,0.0,0.0,64.0,Intel,Mac,51673.5
Xiaomi,Gaming,32,2.49,0,0,176.23,Intel Core i3,0.0,128.0,0.0,0.0,Intel,Mac,130824.19
Acer,Gaming,8,2.74,0,0,101.76,AMD Processor,500.0,0.0,0.0,0.0,Intel,Others/No OS/Linux,46051.91
Chuwi,Gaming,64,4.2,0,1,146.86,Other Intel Processor,0.0,256.0,0.0,0.0,Intel,Windows,218671.83
Dell,2 in 1 Convertible,24,2.73,0,0,143.05,Other Intel Processor,1000.0,0.0,0.0,0.0,Nvidia,Windows,121727.04
Chuwi,Notebook,8,1.84,0,0,143.05,AMD Processor,0.0,0.0,1000.0,0.0,Intel,Windows,49611.15
Acer,Ultrabook,8,1.15,0,1,225.94,Other Intel Processor,1000.0,256.0,0.0,0.0,Nvidia,Others/No OS/Linux,119231.74
Huawei,Gaming,8,4.25,0,0,155.16,Intel Core i5,500.0,0.0,0.0,0.0,Intel,Mac,68173.12
Microsoft,2 in 1 Convertible,4,2.33,0,0,169.45,AMD Processor,1000.0,128.0,0.0,0.0,Nvidia,Others/No OS/Linux,90659.26
Apple,2 in 1 Convertible,4,2.4,1,1,157.35,Intel Core i3,1000.0,0.0,0.0,0.0,AMD,Mac,72751.01
Huawei,Gaming,8,3.03,0,1,225.94,AMD Processor,500.0,0.0,0.0,0.0,Intel,Windows,62194.45
Dell,2 in 1 Convertible,24,1.65,0,0,179.1,Intel Core i7,500.0,0.0,0.0,0.0,Intel,Others/No OS/Linux,116152.87
Asus,Gaming,16,4.44,0,0,104.47,AMD Processor,500.0,0.0,0.0,0.0,Nvidia,Others/No OS/Linux,96671.58
HP,Notebook,4,2.42,0,1,179.1,Intel Core i3,1000.0,0.0,0.0,0.0,Nvidia,Windows,82640.93
HP,Notebook,8,2.05,0,1,179.1,Intel Core i5,0.0,256.0,0.0,0.0,Intel,Windows,96497.24
Dell,Gaming,8,3.32,0,0,111.94,Intel Core i5,500.0,0.0,0.0,0.0,Nvidia,Windows,105376.46
Asus,Gaming,6,3.98,0,0,176.23,Other Intel Processor,1000.0,128.0,0.0,0.0,AMD,Windows,77262.05
Acer,Netbook,32,1.19,0,1,194.95,Intel Core i3,1000.0,128.0,0.0,0.0,Nvidia,Windows,169121.83
Xiaomi,Ultrabook,8,1.13,0,0,158.48,AMD Processor,0.0,128.0,0.0,0.0,Nvidia,Windows,97897.61
Razer,Netbook,2,1.22,0,0,137.68,Other Intel Processor,0.0,0.0,0.0,32.0,AMD,Others/No OS/Linux,53558.56
Acer,Notebook,16,1.92,0,0,100.45,Other Processor,1000.0,512.0,0.0,0.0,AMD,Windows,121517.65
